movieId,rating,userId,title,year,genre,rating_class
1,3.92,1,Toy Story,1995,1,0
2,3.43,6,Jumanji,1995,1,2
3,3.26,1,Grumpier Old Men,1995,2,2
4,2.36,6,Waiting to Exhale,1995,2,1
5,3.07,6,Father of the Bride Part II,1995,2,2
6,3.95,1,Heat,1995,3,0
7,3.19,6,Sabrina,1995,2,2
8,2.88,6,Tom and Huck,1995,1,2
9,3.12,151,Sudden Death,1995,3,2
10,3.5,6,GoldenEye,1995,3,0
11,3.67,6,"American President, The",1995,2,0
12,2.42,19,Dracula: Dead and Loving It,1995,2,1
13,3.12,6,Balto,1995,1,2
14,3.83,84,Nixon,1995,4,0
15,3.0,6,Cutthroat Island,1995,3,2
16,3.93,6,Casino,1995,5,0
17,3.78,6,Sense and Sensibility,1995,4,0
18,3.7,44,Four Rooms,1995,2,0
19,2.73,6,Ace Ventura: When Nature Calls,1995,2,2
20,2.5,78,Money Train,1995,3,2
21,3.49,4,Get Shorty,1995,2,2
22,3.22,6,Copycat,1995,5,2
23,3.12,28,Assassins,1995,3,2
24,3.12,6,Powder,1995,4,2
25,3.62,6,Leaving Las Vegas,1995,4,0
26,3.5,6,Othello,1995,4,0
27,3.33,6,Now and Then,1995,6,2
28,4.23,33,Persuasion,1995,4,0
29,4.01,23,"City of Lost Children, The (Cité des enfants perdus, La)",1995,1,0
30,3.0,325,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,5,2
31,3.18,3,Dangerous Minds,1995,4,2
32,3.98,4,Twelve Monkeys (a.k.a. 12 Monkeys),1995,7,0
34,3.65,5,Babe,1995,6,0
36,3.84,5,Dead Man Walking,1995,5,0
38,2.12,21,It Takes Two,1995,6,1
39,3.29,5,Clueless,1995,2,2
40,4.25,311,"Cry, the Beloved Country",1995,4,0
41,3.7,6,Richard III,1995,4,0
42,3.0,234,Dead Presidents,1995,3,2
43,3.19,6,Restoration,1995,4,2
44,2.54,11,Mortal Kombat,1995,3,2
45,3.31,4,To Die For,1995,2,2
46,3.07,6,How to Make an American Quilt,1995,4,2
47,3.98,1,Seven (a.k.a. Se7en),1995,7,0
48,3.15,19,Pocahontas,1995,8,2
49,3.0,202,When Night Is Falling,1995,4,2
50,4.24,1,"Usual Suspects, The",1995,5,0
52,3.46,4,Mighty Aphrodite,1995,2,2
53,5.0,85,Lamerica,1994,1,0
54,2.33,6,"Big Green, The",1995,6,1
55,4.0,84,Georgia,1995,4,0
57,3.06,43,Home for the Holidays,1995,4,2
58,4.03,4,"Postman, The (Postino, Il)",1994,2,0
60,3.24,6,"Indian in the Cupboard, The",1995,1,2
61,3.75,6,Eye for an Eye,1996,4,0
62,3.71,6,Mr. Holland's Opus,1995,4,0
63,2.71,226,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,2,2
64,2.2,19,Two if by Sea,1996,2,1
65,2.53,6,Bio-Dome,1996,2,2
66,2.5,6,Lawnmower Man 2: Beyond Cyberspace,1996,3,2
68,3.4,90,French Twist (Gazon maudit),1995,2,2
69,3.78,45,Friday,1995,2,0
70,3.51,1,From Dusk Till Dawn,1996,3,0
71,1.7,113,Fair Game,1995,3,1
72,3.21,191,Kicking and Screaming,1995,2,2
73,3.46,117,"Misérables, Les",1995,4,2
74,4.0,32,Bed of Roses,1996,4,0
75,2.2,151,Big Bully,1996,2,1
76,3.4,6,Screamers,1995,3,2
77,4.0,603,Nico Icon,1995,9,0
78,3.33,32,"Crossing Guard, The",1995,3,2
79,2.76,6,"Juror, The",1996,4,2
80,4.0,325,"White Balloon, The (Badkonake sefid)",1995,6,0
81,3.11,90,Things to Do in Denver When You're Dead,1995,5,2
82,3.88,40,Antonia's Line (Antonia),1995,2,0
83,3.0,214,Once Upon a Time... When We Were Colored,1995,4,2
85,3.86,90,Angels and Insects,1995,4,0
86,3.97,6,White Squall,1996,3,0
87,2.5,6,Dunston Checks In,1996,6,2
88,3.16,6,Black Sheep,1996,2,2
89,3.25,6,Nick of Time,1995,3,2
92,2.62,6,Mary Reilly,1996,4,2
93,2.83,6,Vampire in Brooklyn,1995,2,2
94,3.95,33,Beautiful Girls,1996,2,0
95,3.02,6,Broken Arrow,1996,3,2
96,3.5,474,In the Bleak Midwinter,1995,2,0
97,3.9,182,"Hate (Haine, La)",1995,5,0
99,5.0,191,Heidi Fleiss: Hollywood Madam,1995,9,0
100,2.79,6,City Hall,1996,4,2
101,3.78,1,Bottle Rocket,1996,1,0
102,2.4,6,Mr. Wrong,1996,2,1
103,3.0,492,Unforgettable,1996,7,2
104,3.44,6,Happy Gilmore,1996,2,2
105,3.28,6,"Bridges of Madison County, The",1995,4,2
106,4.0,4,Nobody Loves Me (Keiner liebt mich),1994,2,0
107,3.33,19,Muppet Treasure Island,1996,1,2
108,4.0,603,Catwalk,1996,9,0
110,4.03,1,Braveheart,1995,3,0
111,4.11,16,Taxi Driver,1976,5,0
112,3.54,6,Rumble in the Bronx (Hont faan kui),1995,3,0
113,3.33,6,Before and After,1996,4,2
116,3.9,90,Anne Frank Remembered,1995,9,0
117,3.0,604,"Young Poisoner's Handbook, The",1995,5,2
118,2.5,19,If Lucy Fell,1996,2,2
119,3.0,414,"Steal Big, Steal Little",1995,2,2
121,4.0,40,"Boys of St. Vincent, The",1992,4,0
122,2.66,42,Boomerang,1992,2,2
123,4.38,246,Chungking Express (Chung Hing sam lam),1994,4,0
125,3.58,4,Flirting With Disaster,1996,2,0
126,2.0,4,"NeverEnding Story III, The",1994,1,1
128,3.0,260,Jupiter's Wife,1994,9,2
129,2.0,290,Pie in the Sky,1996,2,1
132,2.83,136,Jade,1995,10,2
135,2.95,6,Down Periscope,1996,2,2
137,3.0,609,Man of the Year,1995,9,2
140,3.5,6,Up Close and Personal,1996,4,0
141,3.49,6,"Birdcage, The",1996,2,2
144,3.33,42,"Brothers McMullen, The",1995,2,2
145,3.25,6,Bad Boys,1995,3,2
146,3.33,6,"Amazing Panda Adventure, The",1995,1,2
147,3.47,28,"Basketball Diaries, The",1995,4,2
148,5.0,191,"Awfully Big Adventure, An",1995,4,0
149,2.0,603,Amateur,1994,5,1
150,3.85,5,Apollo 13,1995,1,0
151,3.55,1,Rob Roy,1995,3,0
152,1.5,380,"Addiction, The",1995,4,1
153,2.92,5,Batman Forever,1995,3,2
154,3.88,84,Beauty of the Day (Belle de jour),1967,4,0
155,2.42,191,Beyond Rangoon,1995,1,1
156,3.33,108,Blue in the Face,1995,2,2
157,2.86,1,Canadian Bacon,1995,2,2
158,2.81,6,Casper,1995,1,2
159,2.89,6,Clockers,1995,5,2
160,2.88,6,Congo,1995,3,2
161,3.64,6,Crimson Tide,1995,4,0
162,4.21,4,Crumb,1994,9,0
163,3.56,1,Desperado,1995,3,0
